recall,precision
1.0,0.2222222222222222
1.0,0.222246916324036
1.0,0.2222716159146477
1.0,0.22229632099588753
1.0,0.2223210315695865
1.0,0.22234574763757642
1.0,0.22237046920169
1.0,0.2223951962637607
1.0,0.22241992882562278
1.0,0.22244466688911133
1.0,0.22246941045606228
1.0,0.2224941595283124
1.0,0.22251891410769917
1.0,0.22254367419606097
1.0,0.22256843979523702
1.0,0.22259321090706732
1.0,0.2226179875333927
1.0,0.22264276967605476
1.0,0.22266755733689603
1.0,0.2226923505177597
1.0,0.22271714922049
1.0,0.22274195344693173
1.0,0.2227667631989307
1.0,0.22279157847833353
1.0,0.22281639928698752
1.0,0.22284122562674094
1.0,0.22286605749944283
1.0,0.22289089490694305
1.0,0.22291573785109228
1.0,0.22294058633374206
1.0,0.2229654403567447
1.0,0.2229902999219534
1.0,0.22301516503122212
1.0,0.2230400356864057
1.0,0.2230649118893598
1.0,0.22308979364194087
1.0,0.22311468094600626
1.0,0.22313957380341404
1.0,0.2231644722160232
1.0,0.22318937618569357
1.0,0.22321428571428573
1.0,0.22323920080366114
1.0,0.22326412145568209
1.0,0.22328904767221167
1.0,0.2233139794551139
1.0,0.22333891680625348
1.0,0.2233638597274961
1.0,0.22338880822070814
1.0,0.22341376228775692
1.0,0.22343872193051056
1.0,0.22346368715083798
1.0,0.22348865795060902
1.0,0.22351363433169424
1.0,0.22353861629596514
1.0,0.22356360384529397
1.0,0.22358859698155395
1.0,0.22361359570661896
1.0,0.22363860002236385
1.0,0.22366360993066428
1.0,0.2236886254333967
1.0,0.22371364653243847
1.0,0.22373867322966776
1.0,0.22376370552696354
1.0,0.22378874342620567
1.0,0.22381378692927484
1.0,0.2238388360380526
1.0,0.2238638907544213
1.0,0.2238889510802642
1.0,0.2239140170174653
1.0,0.22393908856790953
1.0,0.22396416573348266
1.0,0.22398924851607122
1.0,0.22401433691756273
1.0,0.2240394309398454
1.0,0.22406453058480844
1.0,0.22408963585434175
1.0,0.22411474675033619
1.0,0.2241398632746834
1.0,0.22416498542927596
1.0,0.22419011321600718
1.0,0.2242152466367713
1.0,0.22424038569346338
1.0,0.22426553038797936
1.0,0.224290680722216
1.0,0.2243158366980709
1.0,0.2243409983174425
1.0,0.2243661655822302
1.0,0.22439133849433412
1.0,0.2244165170556553
1.0,0.22444170126809562
1.0,0.2244668911335578
1.0,0.22449208665394546
1.0,0.224517287831163
1.0,0.22454249466711576
1.0,0.22456770716370986
1.0,0.22459292532285233
1.0,0.22461814914645103
1.0,0.2246433786364147
1.0,0.2246686137946529
1.0,0.22469385462307606
1.0,0.2247191011235955
1.0,0.2247443532981234
1.0,0.22476961114857272
1.0,0.22479487467685738
1.0,0.22482014388489208
1.0,0.22484541877459246
1.0,0.22487069934787496
1.0,0.2248959856066569
1.0,0.2249212775528565
1.0,0.22494657518839276
1.0,0.2249718785151856
1.0,0.22499718753515582
1.0,0.22502250225022502
1.0,0.22504782266231574
1.0,0.22507314877335133
1.0,0.22509848058525606
1.0,0.22512381809995496
1.0,0.2251491613193741
1.0,0.22517451024544022
1.0,0.22519986488008106
1.0,0.22522522522522523
1.0,0.22525059128280212
1.0,0.22527596305474207
1.0,0.22530134054297624
1.0,0.22532672374943669
1.0,0.22535211267605634
1.0,0.225377507324769
1.0,0.22540290769750929
1.0,0.2254283137962128
1.0,0.2254537256228159
1.0,0.2254791431792559
1.0,0.22550456646747097
1.0,0.2255299954894001
1.0,0.22555543024698319
1.0,0.22558087074216107
1.0,0.22560631697687536
1.0,0.22563176895306858
1.0,0.2256572266726842
1.0,0.22568269013766645
1.0,0.2257081593499605
1.0,0.22573363431151242
1.0,0.2257591150242691
1.0,0.22578460149017837
1.0,0.2258100937111889
1.0,0.22583559168925021
1.0,0.22586109542631283
1.0,0.225886604924328
1.0,0.22591212018524795
1.0,0.22593764121102575
1.0,0.2259631680036154
1.0,0.22598870056497175
1.0,0.22601423889705052
1.0,0.22603978300180833
1.0,0.22606533288120267
1.0,0.22609088853719195
1.0,0.22611644997173544
1.0,0.2261420171867933
1.0,0.22616759018432658
1.0,0.2261931689662972
1.0,0.22621875353466803
1.0,0.22624434389140272
1.0,0.2262699400384659
1.0,0.22629554197782303
1.0,0.22632114971144054
1.0,0.22634676324128564
1.0,0.22637238256932654
1.0,0.22639800769753227
1.0,0.22642363862787274
1.0,0.22644927536231885
1.0,0.22647491790284227
1.0,0.22650056625141562
1.0,0.22652622041001247
1.0,0.22655188038060717
1.0,0.22657754616517503
1.0,0.22660321776569228
1.0,0.22662889518413598
1.0,0.22665457842248413
1.0,0.22668026748271564
